iter	Passed	Remaining
0	157	157551
1	160	79932
2	163	54300
3	173	43278
4	175	34932
5	177	29323
6	177	25244
7	185	22979
8	187	20659
9	188	18706
10	189	17082
11	190	15722
12	193	14672
13	198	14007
14	200	13178
15	205	12636
16	207	11976
17	208	11353
18	209	10791
19	219	10777
20	221	10328
21	222	9898
22	223	9498
23	224	9146
24	227	8888
25	229	8589
26	230	8298
27	231	8025
28	231	7767
29	232	7529
30	233	7312
31	241	7314
32	244	7161
33	245	6977
34	246	6795
35	247	6634
36	248	6468
37	256	6483
38	257	6344
39	258	6201
40	259	6068
41	260	5944
42	261	5818
43	262	5707
44	274	5816
45	275	5709
46	276	5600
47	277	5494
48	278	5400
49	283	5379
50	286	5327
51	287	5239
52	288	5149
53	288	5061
54	289	4977
55	290	4895
56	291	4817
57	291	4740
58	292	4667
59	293	4597
60	300	4620
61	302	4569
62	302	4505
63	303	4445
64	305	4391
65	306	4340
66	308	4290
67	309	4241
68	314	4247
69	316	4201
70	317	4150
71	318	4106
72	319	4058
73	320	4010
74	321	3962
75	322	3915
76	322	3868
77	323	3824
78	324	3785
79	328	3777
80	329	3739
81	330	3698
82	330	3653
83	331	3614
84	332	3577
85	333	3540
86	333	3503
87	334	3467
88	335	3431
89	336	3397
90	336	3364
91	337	3331
92	338	3300
93	339	3268
94	339	3237
95	344	3240
96	345	3213
97	346	3186
98	347	3159
99	347	3131
100	348	3104
101	349	3076
102	350	3049
103	351	3025
104	352	3001
105	353	2981
106	355	2966
107	360	2974
108	361	2958
109	363	2942
110	365	2930
111	368	2924
112	374	2942
113	377	2934
114	379	2923
115	380	2902
116	381	2878
117	382	2857
118	383	2836
119	383	2815
120	384	2794
121	385	2773
122	386	2752
123	390	2757
124	391	2738
125	391	2718
126	392	2698
127	393	2679
128	394	2661
129	394	2643
130	395	2625
131	396	2606
132	397	2591
133	398	2574
134	399	2557
135	399	2541
136	400	2524
137	403	2522
138	405	2509
139	406	2494
140	406	2479
141	407	2462
142	408	2446
143	409	2432
144	409	2417
145	411	2406
146	412	2392
147	413	2378
148	413	2363
149	414	2350
150	415	2336
151	416	2323
152	420	2327
153	421	2314
154	421	2300
155	422	2286
156	423	2274
157	424	2262
158	425	2250
159	426	2237
160	426	2223
161	427	2210
162	428	2198
163	428	2186
164	429	2174
165	430	2162
166	431	2150
167	435	2154
168	436	2146
169	438	2141
170	439	2132
171	441	2124
172	442	2114
173	443	2104
174	444	2093
175	444	2082
176	445	2072
177	446	2061
178	449	2063
179	451	2055
180	452	2047
181	453	2038
182	454	2029
183	455	2019
184	456	2010
185	457	2000
186	457	1990
187	458	1981
188	459	1972
189	460	1964
190	461	1955
191	467	1966
192	469	1963
193	470	1956
194	472	1949
195	473	1943
196	474	1934
197	475	1925
198	476	1916
199	476	1907
200	481	1913
201	482	1904
202	482	1895
203	483	1887
204	484	1878
205	485	1870
206	486	1861
207	486	1853
208	487	1845
209	488	1837
210	489	1829
211	490	1821
212	490	1813
213	491	1805
214	492	1797
215	496	1803
216	497	1796
217	498	1788
218	499	1780
219	500	1772
220	500	1765
221	501	1757
222	502	1751
223	503	1743
224	504	1736
225	504	1728
226	505	1722
227	506	1715
228	507	1709
229	510	1709
230	511	1703
231	512	1697
232	513	1691
233	514	1685
234	515	1678
235	516	1671
236	517	1664
237	517	1657
238	518	1650
239	519	1644
240	523	1647
241	524	1643
242	525	1636
243	526	1631
244	527	1625
245	528	1619
246	529	1613
247	529	1606
248	530	1600
249	531	1594
250	532	1588
251	533	1582
252	533	1576
253	534	1569
254	537	1571
255	539	1567
256	540	1562
257	541	1556
258	541	1550
259	542	1544
260	543	1538
261	544	1533
262	545	1527
263	545	1521
264	546	1516
265	547	1510
266	548	1506
267	549	1500
268	553	1502
269	554	1498
270	554	1492
271	555	1487
272	556	1482
273	557	1478
274	558	1473
275	559	1467
276	560	1462
277	560	1456
278	561	1451
279	563	1450
280	568	1455
281	570	1451
282	571	1447
283	572	1442
284	573	1437
285	573	1432
286	574	1427
287	575	1422
288	576	1417
289	577	1412
290	577	1407
291	578	1402
292	579	1397
293	580	1393
294	583	1395
295	585	1391
296	585	1386
297	586	1382
298	587	1377
299	588	1372
300	589	1367
301	589	1363
302	590	1359
303	592	1355
304	592	1351
305	594	1347
306	595	1343
307	600	1348
308	601	1344
309	602	1340
310	603	1336
311	604	1332
312	605	1329
313	606	1325
314	608	1322
315	609	1318
316	610	1315
317	615	1319
318	616	1315
319	617	1312
320	618	1308
321	619	1304
322	620	1299
323	620	1295
324	621	1291
325	622	1287
326	623	1283
327	624	1279
328	625	1275
329	628	1276
330	630	1275
331	632	1271
332	632	1267
333	633	1263
334	634	1259
335	635	1255
336	635	1251
337	636	1246
338	637	1242
339	637	1238
340	638	1234
341	639	1231
342	640	1226
343	644	1228
344	644	1224
345	645	1220
346	646	1216
347	647	1212
348	647	1208
349	648	1205
350	649	1201
351	650	1197
352	651	1193
353	651	1189
354	652	1185
355	653	1181
356	654	1178
357	654	1174
358	655	1170
359	659	1171
360	660	1168
361	660	1164
362	661	1161
363	662	1158
364	663	1154
365	664	1150
366	665	1147
367	665	1143
368	666	1140
369	667	1136
370	668	1133
371	669	1129
372	670	1126
373	670	1122
374	674	1124
375	675	1121
376	676	1118
377	677	1115
378	678	1111
379	679	1107
380	679	1104
381	680	1101
382	681	1097
383	682	1094
384	682	1091
385	683	1087
386	684	1084
387	685	1081
388	686	1078
389	688	1076
390	689	1074
391	690	1071
392	691	1068
393	692	1065
394	693	1062
395	694	1059
396	695	1056
397	697	1055
398	698	1052
399	704	1057
400	708	1058
401	710	1056
402	711	1054
403	712	1051
404	713	1048
405	714	1045
406	724	1054
407	725	1052
408	726	1049
409	727	1046
410	728	1044
411	729	1041
412	730	1038
413	738	1045
414	740	1043
415	741	1041
416	743	1038
417	744	1036
418	756	1048
419	757	1046
420	759	1044
421	760	1041
422	767	1046
423	768	1044
424	770	1042
425	771	1039
426	772	1036
427	773	1033
428	773	1029
429	774	1027
430	775	1024
431	780	1026
432	782	1024
433	783	1021
434	784	1018
435	786	1016
436	786	1013
437	787	1010
438	788	1007
439	789	1004
440	790	1001
441	791	998
442	796	1001
443	797	998
444	798	996
445	799	993
446	800	990
447	801	987
448	802	984
449	803	982
450	804	979
451	804	975
452	805	972
453	806	970
454	811	972
455	812	969
456	813	967
457	814	964
458	815	961
459	816	958
460	817	955
461	817	952
462	818	949
463	819	946
464	819	943
465	820	940
466	821	937
467	826	939
468	827	936
469	828	933
470	829	931
471	830	928
472	831	926
473	831	923
474	832	920
475	833	917
476	834	914
477	835	911
478	835	909
479	836	906
480	840	906
481	841	904
482	842	901
483	843	898
484	843	896
485	844	893
486	845	890
487	846	887
488	846	885
489	847	882
490	848	879
491	849	876
492	850	874
493	850	871
494	851	868
495	855	869
496	856	866
497	857	863
498	857	861
499	858	858
500	859	856
501	861	854
502	862	851
503	862	849
504	863	846
505	864	843
506	865	841
507	866	839
508	867	836
509	870	836
510	871	833
511	871	831
512	873	828
513	874	826
514	875	824
515	876	821
516	877	819
517	877	816
518	878	814
519	879	812
520	881	810
521	881	807
522	885	807
523	887	806
524	889	804
525	893	805
526	894	803
527	895	800
528	896	798
529	904	802
530	905	800
531	906	797
532	907	795
533	908	792
534	909	790
535	910	787
536	911	785
537	912	783
538	918	785
539	920	783
540	921	781
541	922	779
542	923	777
543	924	774
544	925	772
545	925	769
546	926	767
547	927	765
548	928	762
549	934	764
550	936	763
551	937	761
552	939	759
553	940	757
554	942	755
555	947	756
556	949	755
557	951	753
558	954	753
559	956	751
560	957	749
561	958	747
562	961	746
563	963	744
564	964	742
565	964	739
566	965	737
567	966	735
568	967	733
569	968	730
570	970	728
571	971	726
572	972	724
573	973	722
574	976	722
575	978	720
576	979	717
577	979	715
578	980	713
579	981	710
580	982	708
581	983	706
582	984	703
583	985	701
584	986	699
585	987	697
586	988	695
587	988	692
588	992	692
589	994	691
590	995	689
591	996	686
592	997	684
593	998	682
594	999	680
595	1000	677
596	1001	675
597	1002	673
598	1002	671
599	1003	669
600	1004	666
601	1009	667
602	1010	665
603	1011	663
604	1012	661
605	1013	658
606	1014	656
607	1015	654
608	1015	652
609	1016	650
610	1017	647
611	1018	645
612	1019	643
613	1022	642
614	1024	641
615	1024	638
616	1025	636
617	1026	634
618	1027	632
619	1028	630
620	1029	628
621	1030	625
622	1030	623
623	1031	621
624	1032	619
625	1033	617
626	1034	615
627	1034	613
628	1038	612
629	1039	610
630	1040	608
631	1041	606
632	1042	604
633	1043	602
634	1043	600
635	1044	598
636	1045	595
637	1046	593
638	1047	591
639	1048	589
640	1048	587
641	1049	585
642	1053	584
643	1054	582
644	1055	580
645	1055	578
646	1057	576
647	1058	574
648	1058	572
649	1059	570
650	1060	568
651	1061	566
652	1061	564
653	1062	562
654	1063	560
655	1064	558
656	1065	556
657	1068	555
658	1069	553
659	1070	551
660	1071	549
661	1072	547
662	1073	545
663	1074	543
664	1075	541
665	1075	539
666	1076	537
667	1077	535
668	1078	533
669	1078	531
670	1079	529
671	1082	528
672	1083	526
673	1085	524
674	1086	523
675	1087	521
676	1088	519
677	1089	517
678	1090	515
679	1090	513
680	1091	511
681	1092	509
682	1093	507
683	1094	505
684	1095	503
685	1098	502
686	1100	501
687	1101	499
688	1102	497
689	1103	495
690	1104	493
691	1105	491
692	1105	489
693	1106	488
694	1107	486
695	1108	484
696	1109	482
697	1110	480
698	1118	481
699	1120	480
700	1121	478
701	1122	476
702	1123	474
703	1124	472
704	1124	470
705	1125	468
706	1129	467
707	1130	466
708	1131	464
709	1132	462
710	1133	460
711	1134	458
712	1135	456
713	1136	455
714	1137	453
715	1137	451
716	1138	449
717	1139	447
718	1140	445
719	1141	443
720	1144	443
721	1145	441
722	1146	439
723	1147	437
724	1148	435
725	1149	433
726	1149	431
727	1150	429
728	1151	428
729	1152	426
730	1153	424
731	1153	422
732	1154	420
733	1155	418
734	1156	416
735	1159	415
736	1160	413
737	1160	412
738	1161	410
739	1162	408
740	1163	406
741	1163	404
742	1164	402
743	1165	400
744	1166	399
745	1166	397
746	1167	395
747	1168	393
748	1169	391
749	1170	390
750	1171	388
751	1175	387
752	1176	385
753	1177	384
754	1177	382
755	1178	380
756	1179	378
757	1180	376
758	1180	374
759	1181	373
760	1182	371
761	1183	369
762	1184	367
763	1184	366
764	1185	364
765	1189	363
766	1190	361
767	1191	359
768	1192	358
769	1193	356
770	1194	354
771	1195	353
772	1196	351
773	1197	349
774	1198	347
775	1199	346
776	1199	344
777	1200	342
778	1201	340
779	1204	339
780	1206	338
781	1207	336
782	1209	335
783	1209	333
784	1210	331
785	1211	329
786	1212	328
787	1213	326
788	1214	324
789	1215	323
790	1215	321
791	1216	319
792	1220	318
793	1221	316
794	1221	315
795	1222	313
796	1223	311
797	1224	309
798	1225	308
799	1226	306
800	1226	304
801	1227	303
802	1228	301
803	1229	299
804	1229	297
805	1230	296
806	1231	294
807	1235	293
808	1236	291
809	1237	290
810	1237	288
811	1238	286
812	1240	285
813	1241	283
814	1242	281
815	1243	280
816	1244	278
817	1245	277
818	1246	275
819	1247	273
820	1251	272
821	1252	271
822	1253	269
823	1254	267
824	1255	266
825	1256	264
826	1257	263
827	1258	261
828	1259	259
829	1260	258
830	1260	256
831	1261	254
832	1264	253
833	1266	252
834	1267	250
835	1268	248
836	1268	247
837	1269	245
838	1270	243
839	1271	242
840	1271	240
841	1272	238
842	1273	237
843	1274	235
844	1275	233
845	1275	232
846	1276	230
847	1279	229
848	1281	227
849	1282	226
850	1283	224
851	1284	223
852	1285	221
853	1286	219
854	1287	218
855	1287	216
856	1288	215
857	1289	213
858	1290	211
859	1290	210
860	1291	208
861	1292	206
862	1296	205
863	1297	204
864	1298	202
865	1300	201
866	1301	199
867	1302	198
868	1304	196
869	1305	195
870	1307	193
871	1313	192
872	1314	191
873	1318	190
874	1318	188
875	1319	186
876	1320	185
877	1321	183
878	1321	181
879	1323	180
880	1325	179
881	1326	177
882	1327	175
883	1327	174
884	1328	172
885	1329	171
